route_id,service_id,trip_id,trip_headsign,direction_id,block_id
DUA800850009,10283,DUASN110110F01001-1_347402,"10110",0,
DUA800850009,10283,DUASN110112F01001-1_347403,"10112",0,
DUA800850009,10287,DUASN110114F01001-1_347404,"10114",0,
DUA800850009,10283,DUASN110116F01001-1_347405,"10116",0,
DUA800850009,10283,DUASN110118F01001-1_347406,"10118",0,
DUA800850009,10283,DUASN110120F01001-1_347407,"10120",0,
DUA800850009,10283,DUASN110122F01001-1_347408,"10122",0,
DUA800850009,10283,DUASN110124F01001-1_347409,"10124",0,
DUA800850009,10283,DUASN110126F01001-1_347410,"10126",0,
DUA800850009,10283,DUASN110128F01001-1_347411,"10128",0,
DUA800850009,10283,DUASN110130F01001-1_347412,"10130",0,
DUA800850009,10283,DUASN110132F01001-1_347413,"10132",0,
DUA800850009,10283,DUASN110134F01001-1_347414,"10134",0,
DUA800850009,10283,DUASN110136F01001-1_347415,"10136",0,
DUA800850009,10283,DUASN110138F01001-1_347416,"10138",0,
DUA800850009,10283,DUASN110140F01001-1_347417,"10140",0,
DUA800850009,10283,DUASN110142F01001-1_347418,"10142",0,
DUA800850009,10283,DUASN110144F01001-1_347419,"10144",0,
DUA800850009,10284,DUASN110146F01001-1_347420,"10146",0,
DUA800850009,10284,DUASN110148F01001-1_347421,"10148",0,
DUA800850009,10285,DUASN110150F01001-1_347422,"10150",0,
DUA800850009,10286,DUASN110152F01001-1_347423,"10152",0,
DUA800850009,10286,DUASN110154F01001-1_347424,"10154",0,
DUA800850009,10283,DUASN110210F01001-1_347425,"10210",0,
DUA800850009,10283,DUASN110212F01001-1_347426,"10212",0,
DUA800850009,10283,DUASN110214F01001-1_347427,"10214",0,
DUA800850009,10283,DUASN110216F01001-1_347428,"10216",0,
DUA800850009,10283,DUASN110218F01001-1_347429,"10218",0,
DUA800850009,10283,DUASN110220F01001-1_347430,"10220",0,
DUA800850009,10283,DUASN110222F01001-1_347431,"10222",0,
DUA800850009,10283,DUASN110224F01001-1_347432,"10224",0,
DUA800850009,10283,DUASN110226F01001-1_347433,"10226",0,
DUA800850009,10283,DUASN110228F01001-1_347434,"10228",0,
DUA800850009,10283,DUASN110230F01001-1_347435,"10230",0,
DUA800850009,10283,DUASN110232F01001-1_347436,"10232",0,
DUA800850009,10283,DUASN110234F01001-1_347437,"10234",0,
DUA800850009,10283,DUASN110236F01001-1_347438,"10236",0,
DUA800850009,10283,DUASN110238F01001-1_347439,"10238",0,
DUA800850009,10283,DUASN110240F01001-1_347440,"10240",0,
DUA800850009,10283,DUASN110242F01001-1_347441,"10242",0,
DUA800850009,10283,DUASN110244F01001-1_347442,"10244",0,
DUA800850009,10284,DUASN110246F01001-1_347443,"10246",0,
DUA800850009,10285,DUASN110248F01001-1_347444,"10248",0,
DUA800850009,10285,DUASN110250F01001-1_347445,"10250",0,
DUA800850009,10286,DUASN110252F01001-1_347446,"10252",0,
DUA800850009,10283,DUASN110312F01001-1_347447,"10312",0,
DUA800850009,10283,DUASN110314F01001-1_347448,"10314",0,
DUA800850009,10283,DUASN110316F01001-1_347449,"10316",0,
DUA800850009,10283,DUASN110318F01001-1_347450,"10318",0,
DUA800850009,10283,DUASN110320F01001-1_347451,"10320",0,
DUA800850009,10283,DUASN110322F01001-1_347452,"10322",0,
DUA800850009,10283,DUASN110324F01001-1_347453,"10324",0,
DUA800850009,10283,DUASN110326F01001-1_347454,"10326",0,
DUA800850009,10283,DUASN110328F01001-1_347455,"10328",0,
DUA800850009,10283,DUASN110330F01001-1_347456,"10330",0,
DUA800850009,10283,DUASN110332F01001-1_347457,"10332",0,
DUA800850009,10283,DUASN110334F01001-1_347458,"10334",0,
DUA800850009,10283,DUASN110336F01001-1_347459,"10336",0,
DUA800850009,10283,DUASN110338F01001-1_347460,"10338",0,
DUA800850009,10283,DUASN110340F01001-1_347461,"10340",0,
DUA800850009,10283,DUASN110342F01001-1_347462,"10342",0,
DUA800850009,10283,DUASN110410F01001-1_347463,"10410",0,
DUA800850009,10283,DUASN110412F01001-1_347464,"10412",0,
DUA800850009,10283,DUASN110414F01001-1_347465,"10414",0,
DUA800850009,10283,DUASN110416F01001-1_347466,"10416",0,
DUA800850009,10283,DUASN110418F01001-1_347467,"10418",0,
DUA800850009,10283,DUASN110420F01001-1_347468,"10420",0,
DUA800850009,10283,DUASN110422F01001-1_347469,"10422",0,
DUA800850009,10283,DUASN110424F01001-1_347470,"10424",0,
DUA800850009,10283,DUASN110426F01001-1_347471,"10426",0,
DUA800850009,10283,DUASN110428F01001-1_347472,"10428",0,
DUA800850009,10283,DUASN110430F01001-1_347473,"10430",0,
DUA800850009,10283,DUASN110432F01001-1_347474,"10432",0,
DUA800850009,10283,DUASN110434F01001-1_347475,"10434",0,
DUA800850009,10283,DUASN110436F01001-1_347476,"10436",0,
DUA800850009,10283,DUASN110438F01001-1_347477,"10438",0,
DUA800850009,10283,DUASN110532F01001-1_347478,"10532",0,
DUA800850009,10283,DUASN110530F01001-1_347479,"10530",0,
DUA800850009,10283,DUASN110528F01001-1_347480,"10528",0,
DUA800850009,10283,DUASN110526F01001-1_347481,"10526",0,
DUA800850009,10283,DUASN110524F01001-1_347482,"10524",0,
DUA800850009,10283,DUASN110522F01001-1_347483,"10522",0,
DUA800850009,10283,DUASN110520F01001-1_347484,"10520",0,
DUA800850009,10283,DUASN110518F01001-1_347485,"10518",0,
DUA800850009,10283,DUASN110516F01001-1_347486,"10516",0,
DUA800850009,10283,DUASN110514F01001-1_347487,"10514",0,
DUA800850009,10283,DUASN110512F01001-1_347488,"10512",0,
DUA800850009,10283,DUASN110510F01001-1_347489,"10510",0,
DUA800850009,10286,DUASN110452F01001-1_347490,"10452",0,
DUA800850009,10285,DUASN110450F01001-1_347491,"10450",0,
DUA800850009,10285,DUASN110448F01001-1_347492,"10448",0,
DUA800850009,10288,DUASN110446F01001-1_347493,"10446",0,
DUA800850009,10283,DUASN110444F01001-1_347494,"10444",0,
DUA800850009,10283,DUASN110442F01001-1_347495,"10442",0,
DUA800850009,10283,DUASN110440F01001-1_347496,"10440",0,
DUA800850009,10283,DUASN110830F01001-1_347497,"10830",0,
DUA800850009,10283,DUASN110828F01001-1_347498,"10828",0,
DUA800850009,10283,DUASN110826F01001-1_347499,"10826",0,
DUA800850009,10283,DUASN110824F01001-1_347500,"10824",0,
DUA800850009,10283,DUASN110822F01001-1_347501,"10822",0,
DUA800850009,10283,DUASN110820F01001-1_347502,"10820",0,
