service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11205,1,1,1,1,1,1,1,20170501,20170730
11204,0,1,1,1,1,1,1,20170904,20171105
11208,1,1,1,1,1,0,0,20170904,20171103
11207,0,0,0,0,0,0,1,20170828,20171105
11206,0,0,0,0,0,1,1,20170828,20171105
11201,1,0,0,0,0,0,1,20170730,20170828
11203,0,0,0,0,0,1,1,20170828,20171105
11202,1,1,1,1,1,0,0,20170828,20171103
11215,0,0,0,0,0,1,1,20170501,20170723
11210,1,1,1,1,1,1,1,20170612,20170723
11212,1,1,1,1,1,1,1,20170501,20170730
11211,1,1,1,1,1,1,1,20170501,20170730
11213,1,1,1,1,1,1,1,20170612,20170730
11214,1,1,1,1,1,1,1,20170828,20171105
10581,0,0,0,0,0,1,1,20170603,20170604
11216,1,1,1,1,1,0,0,20170814,20170825
11059,1,1,1,1,1,0,0,20170816,20170825
11083,0,0,0,0,0,0,1,20170904,20170917
11134,0,0,0,0,0,0,1,20170710,20170903
11135,0,0,0,0,0,0,1,20170710,20170903
11136,0,0,0,0,0,0,1,20170710,20170903
11137,1,1,1,1,1,0,0,20170904,20170917
11133,1,1,1,1,1,0,0,20170502,20171103
11140,1,1,1,1,1,0,0,20170904,20170917
11141,1,1,1,1,1,1,1,20170724,20170820
11109,1,1,1,1,1,0,0,20170529,20170702
11138,0,0,0,0,0,0,1,20170501,20170521
11115,1,1,1,1,1,1,1,20170501,20170528
11113,1,1,1,1,1,1,1,20170501,20170528
11117,1,1,1,1,1,0,0,20170529,20170630
11108,1,1,1,1,1,1,1,20170501,20170528
11105,1,1,1,1,1,1,1,20170501,20171105
11111,1,1,1,1,1,1,1,20170501,20171105
11110,1,1,1,1,1,1,1,20170501,20171105
11118,0,0,0,0,0,1,1,20170501,20171105
11120,0,0,0,0,0,0,1,20170501,20171105
11119,1,1,1,1,1,1,1,20170501,20171105
11102,1,1,1,1,1,1,0,20170703,20171104
11103,1,1,1,1,1,1,0,20170502,20170701
11258,1,0,0,0,0,0,0,20170501,20170508
11270,0,0,0,0,0,1,1,20170529,20170625
10211,1,1,1,1,1,0,0,20170502,20171103
11269,1,1,1,1,1,0,0,20170626,20170714
11259,0,0,0,0,0,1,1,20170506,20170806
11271,0,0,0,0,0,1,0,20170814,20171104
11254,0,0,0,0,0,1,1,20170501,20170806
11256,0,0,0,0,0,1,1,20170501,20170806
10772,1,1,1,1,1,0,0,20170502,20170524
11255,1,1,1,1,1,1,1,20170501,20171105
11260,1,1,1,1,1,1,1,20170501,20171105
11266,1,1,1,1,1,1,1,20170501,20171105
10876,0,0,0,0,0,1,0,20170506,20170806
11261,0,0,0,0,0,1,1,20170501,20170806
11267,1,1,1,1,1,1,1,20170501,20171105
11272,1,1,1,1,1,1,0,20170502,20171104
11273,0,1,0,0,0,0,0,20170502,20170509
11268,1,1,1,1,1,1,1,20170501,20171105
11274,1,1,0,0,0,0,0,20171002,20171031
10477,0,0,0,0,0,1,0,20170617,20170624
11275,1,1,1,1,1,0,0,20170821,20170825
11277,1,1,1,1,1,0,0,20170717,20170728
11257,1,1,1,1,1,0,0,20170626,20170716
11262,1,1,1,1,1,1,0,20170502,20171104
11263,1,1,1,1,1,1,0,20170502,20171104
11265,1,0,0,0,0,0,1,20170501,20171105
11264,0,0,0,0,0,1,1,20170814,20171001
10592,0,0,0,0,0,1,1,20170605,20170910
10593,1,0,0,0,0,1,1,20170501,20170525
10555,0,0,0,0,0,0,1,20170917,20170924
10600,0,0,0,0,0,0,1,20170605,20170910
10599,1,0,0,0,0,1,1,20170501,20170514
10601,1,0,0,0,0,0,1,20170501,20170514
10603,0,0,0,0,0,1,1,20170612,20170910
10602,1,0,0,0,0,1,1,20170501,20170514
10594,1,1,1,1,1,0,0,20170529,20171103
10595,1,0,0,0,0,1,1,20170501,20170514
10598,0,0,0,0,0,1,1,20170605,20170910
10597,1,1,1,1,1,0,1,20170529,20170611
10596,1,1,1,1,1,1,1,20170501,20170526
10583,0,0,0,0,0,1,1,20170520,20170528
9871,0,0,0,0,0,1,0,20170520,20170603
10579,0,0,0,0,0,1,0,20170520,20170527
10580,0,0,0,0,0,0,1,20170528,20170604
10586,0,0,0,0,0,1,1,20170527,20170611
10604,0,0,0,0,0,1,1,20170612,20170910
10616,1,1,1,1,1,0,0,20170626,20170713
10617,1,1,1,1,1,0,0,20170529,20170611
10615,1,1,1,1,1,0,0,20170502,20170526
10605,1,1,1,1,1,0,0,20170502,20170526
10619,0,0,0,0,0,1,1,20170520,20170528
10611,1,1,1,1,1,0,0,20170509,20170526
10610,1,1,1,1,1,0,0,20170612,20170721
10372,1,1,1,1,1,0,0,20170612,20170630
10613,1,1,1,1,1,1,0,20170617,20171104
10612,0,1,1,1,1,1,0,20170502,20170513
10606,1,1,1,1,1,0,0,20170515,20170526
10609,1,1,1,1,1,1,1,20170529,20171105
10608,1,1,1,1,1,1,1,20170501,20170514
10128,0,1,1,1,1,0,0,20170502,20170512
10614,1,1,1,1,1,0,0,20170724,20171103
10526,0,0,0,0,0,1,1,20170917,20171008
10527,1,0,0,0,0,0,1,20170918,20171009
10530,1,1,1,1,1,0,0,20170612,20171103
10063,0,1,1,1,0,0,0,20170509,20170511
10531,1,1,1,1,1,0,0,20170515,20170609
10545,0,0,0,0,0,1,1,20170506,20170701
10546,0,0,0,0,0,1,1,20170702,20171105
10543,1,0,0,0,0,1,1,20170501,20170514
10544,0,0,0,0,0,1,1,20170702,20171105
10542,0,0,0,0,0,1,1,20170702,20171105
10551,1,1,1,1,0,0,0,20170814,20170817
10550,1,1,1,1,1,1,1,20170702,20171105
10549,1,1,1,1,1,1,1,20170501,20170701
10157,1,1,1,1,1,1,1,20170702,20171105
10552,1,1,1,1,1,0,0,20170703,20171103
10547,1,0,0,0,0,1,1,20170501,20170514
10548,1,1,1,1,1,1,1,20170501,20170701
10632,1,1,1,1,1,0,0,20170703,20170903
10634,1,1,1,1,1,0,0,20170703,20171103
10633,1,0,0,0,0,1,1,20170501,20170514
10635,0,0,0,0,0,1,1,20170506,20170701
9707,0,1,1,1,1,0,0,20170509,20170512
10533,0,1,1,1,1,1,0,20170516,20170610
10628,0,0,0,0,0,0,1,20170916,20170924
10627,1,1,1,1,1,0,0,20170515,20170604
9807,0,1,1,0,0,0,0,20170808,20170809
10564,1,1,1,1,1,1,1,20170501,20171105
10626,1,1,1,1,1,1,1,20170501,20171105
10518,0,0,0,0,0,1,1,20170916,20170924
10630,0,0,0,0,1,1,0,20170915,20170923
10119,0,0,1,1,1,1,0,20170503,20170506
10112,0,0,1,1,1,1,0,20170510,20170513
10554,0,0,0,0,1,0,0,20170915,20170922
10631,0,0,0,0,1,1,0,20170915,20170923
10553,1,1,1,1,1,0,0,20170703,20171103
10620,1,1,1,1,1,0,0,20170911,20171008
10622,0,1,1,1,1,1,0,20170613,20170806
10621,1,0,0,0,0,0,1,20170522,20170806
10625,1,1,1,1,1,0,0,20170911,20171008
10624,1,1,1,1,1,0,0,20170515,20170604
10623,1,1,1,1,1,0,0,20170911,20171008
10575,1,1,1,1,1,0,0,20170612,20171103
10576,0,0,0,0,1,0,0,20170929,20171006
10574,1,1,1,1,1,0,0,20170904,20171102
9638,0,0,0,0,0,1,0,20170527,20170603
9884,0,0,0,0,0,1,1,20170520,20170521
10521,1,1,1,1,1,0,0,20170515,20170604
10514,0,0,0,0,0,1,1,20170522,20170924
9881,0,0,0,0,0,1,0,20170520,20170603
10523,1,1,1,1,1,0,0,20170911,20171008
10513,0,0,0,0,0,1,0,20170916,20170923
10520,0,0,0,0,1,1,1,20170915,20170924
10519,0,0,0,0,0,1,1,20170522,20170910
10516,1,1,1,1,1,1,1,20170501,20171105
10517,1,1,1,1,1,1,0,20170911,20171008
10522,1,1,1,1,1,0,1,20170911,20171008
10515,1,1,1,1,1,1,1,20170501,20171105
10535,0,1,1,1,1,1,0,20170612,20171104
10536,0,0,0,0,0,0,1,20171001,20171008
10534,0,1,1,1,1,1,0,20170502,20170513
10532,0,0,0,0,0,0,1,20170916,20171008
10568,0,0,0,0,0,1,1,20170501,20171105
10571,1,1,1,1,1,1,1,20170501,20171105
10433,1,1,1,1,1,0,0,20170703,20170901
10569,0,0,0,0,0,1,1,20170522,20171105
10566,1,1,1,1,1,1,1,20170501,20171105
10567,0,0,0,0,1,1,1,20170904,20171105
10358,1,1,1,1,1,0,0,20170904,20171103
10573,0,0,0,0,0,1,1,20170522,20171105
10572,0,0,0,0,0,1,1,20170522,20171105
10570,0,0,0,0,0,1,1,20170522,20170902
10561,0,0,0,0,0,1,1,20170703,20170910
10562,0,0,0,0,0,0,1,20170522,20170910
10560,1,1,1,1,1,1,0,20170911,20171008
10565,1,1,1,1,1,1,0,20170502,20171104
10563,1,1,1,1,1,0,1,20170501,20171105
10557,1,1,1,1,1,1,1,20170501,20171105
10558,1,1,1,1,1,1,0,20170502,20171104
10559,1,1,1,1,1,1,1,20170702,20171105
10556,1,1,1,1,1,1,1,20170501,20170701
10511,0,0,0,0,0,1,1,20170501,20170924
10509,1,1,1,1,1,1,1,20170501,20171105
10512,1,1,1,1,1,0,1,20170911,20171008
10510,1,1,1,1,1,0,0,20170911,20171008
10539,1,1,1,1,1,0,0,20170911,20171008
10538,1,1,1,1,1,0,0,20170612,20171103
10540,0,0,0,0,0,1,1,20170903,20171105
9463,0,1,1,1,1,0,0,20170502,20170505
10537,1,1,1,1,1,0,0,20170512,20170609
10959,1,1,1,1,1,1,1,20170501,20171105
10960,0,0,0,0,0,1,1,20170716,20170826
10969,1,1,1,1,1,1,1,20170501,20171105
10966,0,0,1,1,1,1,0,20170503,20170506
10967,0,0,1,1,1,0,0,20170607,20170609
10968,1,0,0,0,0,0,1,20170918,20171015
9623,0,0,0,0,0,0,1,20170716,20170820
11041,1,1,1,1,1,1,1,20170501,20170716
10196,0,0,0,0,0,1,1,20170501,20171105
10985,0,0,0,0,0,1,1,20170501,20170716
11040,1,1,1,1,1,1,1,20170501,20171105
10108,1,1,1,1,1,1,1,20170501,20171105
11043,1,1,1,1,1,1,1,20170501,20171105
10420,0,0,0,0,0,0,1,20170501,20171105
9586,1,1,1,1,1,0,0,20170717,20170825
11042,0,0,0,0,0,1,1,20170501,20171105
10411,0,0,0,0,0,1,0,20170506,20171104
9776,1,1,1,1,1,0,0,20170502,20170716
10979,1,1,1,1,1,1,1,20170502,20171105
10973,1,1,1,1,1,1,1,20170501,20171105
10977,1,1,1,1,1,1,1,20170501,20171105
10978,0,0,0,0,0,0,1,20170917,20170924
10980,1,1,1,1,1,1,1,20170502,20171105
10981,1,1,1,1,1,1,1,20170501,20171105
10919,1,1,1,1,1,1,1,20170501,20171105
10926,0,0,0,0,0,1,0,20170506,20170910
10964,1,1,1,1,1,1,1,20170501,20171105
10961,1,1,1,1,1,1,1,20170502,20171105
10918,0,0,0,0,0,1,1,20170501,20170910
10921,1,1,1,1,1,1,1,20170501,20170701
10923,1,1,1,1,1,1,1,20170501,20170701
10962,1,1,1,1,1,1,1,20170501,20170730
10924,0,0,0,0,0,1,1,20170612,20170716
11047,1,1,1,1,1,1,0,20170502,20170716
