Nom gare;Code Gare;Type jour;Date de comptage;Ligne;Tranche horaire;Montants
MANTES STATION;87381590;Samedi;2016-11-19;J;De 10h à 16h;370
VAL D'ARGENTEUIL;87381798;JOB;2016-11-22;J;De 10h à 16h;2580
VAL D'ARGENTEUIL;87381798;JOB;2016-11-22;J;De 6h à 10h;3961
VAL D'ARGENTEUIL;87381798;Samedi;2016-11-19;J;Avant 6h;102
TRIEL SUR SEINE;87381806;JOB;2016-11-22;J;De 6h à 10h;626
VAUX SUR SEINE;87381814;JOB;2016-11-24;J;De 6h à 10h;46
VAUX SUR SEINE;87381814;Samedi;2016-11-19;J;Après 20h;15
VAUX SUR SEINE;87381814;Samedi;2016-11-19;J;De 6h à 10h;59
THUN LE PARADIS;87381822;Dimanche;2016-11-20;J;Après 20h;13
THUN LE PARADIS;87381822;Dimanche;2016-11-20;J;De 10h à 16h;109
THUN LE PARADIS;87381822;JOB;2016-11-22;J;De 10h à 16h;107
THUN LE PARADIS;87381822;Samedi;2016-11-19;J;Avant 6h;1
MEULAN HARDRICOURT;87381830;Dimanche;2016-11-20;J;Après 20h;24
MEULAN HARDRICOURT;87381830;Dimanche;2016-11-20;J;De 16h à 20h;104
MEULAN HARDRICOURT;87381830;JOB;2016-11-22;J;De 16h à 20h;173
MEULAN HARDRICOURT;87381830;JOB;2016-11-24;J;De 6h à 10h;34
MEULAN HARDRICOURT;87381830;Samedi;2016-11-19;J;Après 20h;18
ARGENTEUIL;87381848;JOB;2016-11-24;J;De 6h à 10h;340
ARGENTEUIL;87381848;Samedi;2016-11-19;J;De 10h à 16h;6302
ARGENTEUIL;87381848;Samedi;2016-11-19;J;De 16h à 20h;3917
CORMEILLES EN PARISIS;87381863;Samedi;2016-11-19;J;Après 20h;275
LA FRETTE MONTIGNY;87381871;JOB;2016-11-22;J;Avant 6h;16
LA FRETTE MONTIGNY;87381871;Samedi;2016-11-19;J;Après 20h;66
LA FRETTE MONTIGNY;87381871;Samedi;2016-11-19;J;De 6h à 10h;174
HERBLAY;87381889;JOB;2016-11-22;J;Après 20h;126
HERBLAY;87381889;JOB;2016-11-22;J;De 10h à 16h;1024
HERBLAY;87381889;JOB;2016-11-22;J;De 16h à 20h;738
HERBLAY;87381889;JOB;2016-11-22;J;De 6h à 10h;3991
CONFLANS SAINTE-HONORINE;87381897;Dimanche;2016-11-20;J;Après 20h;230
CONFLANS SAINTE-HONORINE;87381897;Dimanche;2016-11-20;J;De 16h à 20h;747
CONFLANS SAINTE-HONORINE;87381897;JOB;2016-11-22;J;De 10h à 16h;1457
CONFLANS SAINTE-HONORINE;87381897;Samedi;2016-11-19;J;Avant 6h;57
PARIS SAINT-LAZARE;87384008;Dimanche;2016-11-20;J;Avant 6h;133
PARIS SAINT-LAZARE;87384008;Dimanche;2016-11-20;J;De 10h à 16h;11083
PARIS SAINT-LAZARE;87384008;Dimanche;2016-11-20;J;De 6h à 10h;2632
PARIS SAINT-LAZARE;87384008;JOB;2016-11-22;J;De 6h à 10h;10404
PARIS SAINT-LAZARE;87384008;JOB;2016-11-24;J;De 6h à 10h;0
HOUILLES CARRIERES SUR SEINE;87386409;Dimanche;2016-11-20;J;De 16h à 20h;572
POISSY;87386573;JOB;2016-11-22;J;De 10h à 16h;1823
POISSY;87386573;JOB;2016-11-22;J;De 16h à 20h;2961
POISSY;87386573;JOB;2016-11-22;J;De 6h à 10h;4420
POISSY;87386573;Samedi;2016-11-19;J;Après 20h;546
POISSY;87386573;Samedi;2016-11-19;J;Avant 6h;58
VILLENNES SUR SEINE;87386649;Dimanche;2016-11-20;J;De 10h à 16h;182
VILLENNES SUR SEINE;87386649;Dimanche;2016-11-20;J;De 16h à 20h;167
VILLENNES SUR SEINE;87386649;JOB;2016-11-22;J;De 6h à 10h;779
VILLENNES SUR SEINE;87386649;Samedi;2016-11-19;J;Avant 6h;3
VILLENNES SUR SEINE;87386649;Samedi;2016-11-19;J;De 10h à 16h;266
VILLENNES SUR SEINE;87386649;Samedi;2016-11-19;J;De 6h à 10h;140
VERNOUILLET VERNEUIL;87386656;Samedi;2016-11-19;J;De 16h à 20h;729
LES CLAIRIERES DE VERNEUIL;87386664;JOB;2016-11-22;J;Avant 6h;14
LES CLAIRIERES DE VERNEUIL;87386664;Samedi;2016-11-19;J;Après 20h;16
LES CLAIRIERES DE VERNEUIL;87386664;Samedi;2016-11-19;J;De 10h à 16h;148
LES MUREAUX;87386680;Dimanche;2016-11-20;J;Après 20h;201
LES MUREAUX;87386680;JOB;2016-11-22;J;Après 20h;137
LES MUREAUX;87386680;Samedi;2016-11-19;J;Après 20h;158
LES MUREAUX;87386680;Samedi;2016-11-19;J;De 16h à 20h;865
AUBERGENVILLE ELISABETHVILLE;87386730;JOB;2016-11-22;J;Après 20h;64
AUBERGENVILLE ELISABETHVILLE;87386730;JOB;2016-11-22;J;De 16h à 20h;885
AUBERGENVILLE ELISABETHVILLE;87386730;Samedi;2016-11-19;J;Après 20h;60
AUBERGENVILLE ELISABETHVILLE;87386730;Samedi;2016-11-19;J;Avant 6h;87
EPONE MEZIERES;87386763;Dimanche;2016-11-20;J;De 10h à 16h;200
EPONE MEZIERES;87386763;JOB;2016-11-22;J;Avant 6h;78
EPONE MEZIERES;87386763;Samedi;2016-11-19;J;De 16h à 20h;250
ROSNY SUR SEINE;87415885;JOB;2016-11-22;J;De 6h à 10h;122
Paris Nord;87271007;Dimanche;2014-03-30;K;De 10h à 16h;70
Paris Nord;87271007;JOB;2014-03-27;K;Avant 6h;0
Aulnay sous Bois;87271411;Dimanche;2014-03-30;K;De 10h à 16h;19
Aulnay sous Bois;87271411;Dimanche;2014-03-30;K;De 16h à 20h;28
Aulnay sous Bois;87271411;JOB;2014-03-27;K;Après 20h;16
Mitry Claye;87271528;Dimanche;2014-03-30;K;De 16h à 20h;32
Mitry Claye;87271528;JOB;2014-03-27;K;Avant 6h;29
Dammartin Juilly Saint-Mard;87271536;Dimanche;2014-03-30;K;De 6h à 10h;6
Dammartin Juilly Saint-Mard;87271536;JOB;2014-03-27;K;De 16h à 20h;56
Dammartin Juilly Saint-Mard;87271536;Samedi;2014-03-29;K;De 10h à 16h;35
Le Plessis-Belleville;87271551;JOB;2014-03-27;K;Avant 6h;34
Le Plessis-Belleville;87271551;JOB;2014-03-27;K;De 16h à 20h;80
Le Plessis-Belleville;87271551;Samedi;2014-03-29;K;De 6h à 10h;39
Nanteuil-le-Haudouin;87271577;Dimanche;2014-03-30;K;Après 20h;11
Nanteuil-le-Haudouin;87271577;Dimanche;2014-03-30;K;De 16h à 20h;11
Nanteuil-le-Haudouin;87271577;Samedi;2014-03-29;K;De 10h à 16h;15
Nanteuil-le-Haudouin;87271577;Samedi;2014-03-29;K;De 6h à 10h;28
Ormoy-Villers;87271585;Dimanche;2014-03-30;K;De 6h à 10h;0
Ormoy-Villers;87271585;JOB;2014-03-27;K;De 6h à 10h;38
Ormoy-Villers;87271585;Samedi;2014-03-29;K;Après 20h;1
Ormoy-Villers;87271585;Samedi;2014-03-29;K;Avant 6h;0
Crépy-en-Valois;87271593;Dimanche;2014-03-30;K;Après 20h;41
Crépy-en-Valois;87271593;Dimanche;2014-03-30;K;De 10h à 16h;31
Crépy-en-Valois;87271593;JOB;2014-03-27;K;Avant 6h;55
Crépy-en-Valois;87271593;Samedi;2014-03-29;K;Après 20h;23
Crépy-en-Valois;87271593;Samedi;2014-03-29;K;De 10h à 16h;83
Crépy-en-Valois;87271593;Samedi;2014-03-29;K;De 16h à 20h;0
Compans;87272047;Dimanche;2014-03-30;K;De 6h à 10h;1
Compans;87272047;Samedi;2014-03-29;K;Après 20h;0
Compans;87272047;Samedi;2014-03-29;K;De 16h à 20h;0
Thieux Nantouillet;87272054;Dimanche;2014-03-30;K;De 10h à 16h;5
Thieux Nantouillet;87272054;Samedi;2014-03-29;K;De 6h à 10h;14
Neuville Université;87334482;JOB;2014-05-20;L;De 16h à 20h;250
Saint-Germain en Laye Bel Air Fourqueux;87366922;JOB;2012-11-22;L;Après 20h;9
Saint-Germain en Laye Bel Air Fourqueux;87366922;JOB;2012-11-22;L;De 16h à 20h;222
Neuville Université;87334482;Dimanche;2014-05-18;A;De 10h à 16h;456
Neuville Université;87334482;JOB;2014-05-20;A;Avant 6h;42
Neuville Université;87334482;JOB;2014-05-20;A;De 16h à 20h;619
Conflans fin d'Oise;87381459;Dimanche;2014-05-18;A;Après 20h;257
Conflans fin d'Oise;87381459;Dimanche;2014-05-18;A;Avant 6h;36
Conflans fin d'Oise;87381459;JOB;2014-05-20;A;De 16h à 20h;980
Conflans fin d'Oise;87381459;Samedi;2014-05-17;A;De 6h à 10h;606
Achères Ville;87381657;Dimanche;2014-05-18;A;Après 20h;156
Achères Ville;87381657;JOB;2014-05-20;A;De 10h à 16h;911
Achères Ville;87381657;JOB;2014-05-20;A;De 6h à 10h;1990
Achères Ville;87381657;Samedi;2014-05-17;A;Après 20h;262
Achères Ville;87381657;Samedi;2014-05-17;A;De 16h à 20h;771
Cergy Préfecture;87381905;Dimanche;2014-05-18;A;De 6h à 10h;830
Cergy Préfecture;87381905;JOB;2014-05-20;A;Après 20h;1181
Cergy Préfecture;87381905;Samedi;2014-05-17;A;Après 20h;1405
Cergy Saint-Christophe;87382499;Dimanche;2014-05-18;A;Après 20h;543
Cergy Saint-Christophe;87382499;Samedi;2014-05-17;A;De 16h à 20h;1728
Cergy le Haut;87382655;Dimanche;2014-05-18;A;De 6h à 10h;554
Cergy le Haut;87382655;JOB;2014-05-20;A;De 16h à 20h;1062
Cergy le Haut;87382655;JOB;2014-05-20;A;De 6h à 10h;5396
Cergy le Haut;87382655;Samedi;2014-05-17;A;Après 20h;579
Cergy le Haut;87382655;Samedi;2014-05-17;A;De 16h à 20h;1596
Achères Grand Cormier;87386052;Dimanche;2014-05-18;A;Après 20h;34
Achères Grand Cormier;87386052;Dimanche;2014-05-18;A;Avant 6h;3
Achères Grand Cormier;87386052;JOB;2014-05-20;A;Avant 6h;14
Achères Grand Cormier;87386052;Samedi;2014-05-17;A;De 10h à 16h;95
Houilles Carrières sur Seine;87386409;JOB;2014-05-20;A;De 16h à 20h;2394
Houilles Carrières sur Seine;87386409;JOB;2014-05-20;A;De 6h à 10h;7447
Houilles Carrières sur Seine;87386409;Samedi;2014-05-17;A;De 6h à 10h;1362
Sartrouville;87386417;Dimanche;2014-05-18;A;De 16h à 20h;1439
Sartrouville;87386417;JOB;2014-05-20;A;Avant 6h;184
Sartrouville;87386417;Samedi;2014-05-17;A;Après 20h;1255
Maisons Laffitte;87386425;Dimanche;2014-05-18;A;Après 20h;547
Maisons Laffitte;87386425;JOB;2014-05-20;A;Après 20h;505
Maisons Laffitte;87386425;JOB;2014-05-20;A;De 16h à 20h;1549
Maisons Laffitte;87386425;Samedi;2014-05-17;A;Avant 6h;61
Poissy;87386573;Samedi;2014-05-17;A;Après 20h;526
Poissy;87386573;Samedi;2014-05-17;A;De 16h à 20h;1133
Poissy;87386573;Samedi;2014-05-17;A;De 6h à 10h;811
Aéroport Charles de Gaulle 2 TGV;87001479;JOB;2014-03-27;B;De 16h à 20h;3322
Aéroport Charles de Gaulle 2 TGV;87001479;Samedi;2014-03-29;B;Après 20h;1554
Aéroport Charles de Gaulle 2 TGV;87001479;Samedi;2014-03-29;B;De 10h à 16h;5292
La Plaine-Stade de France;87164798;JOB;2014-03-27;B;Après 20h;1604
La Plaine-Stade de France;87164798;Samedi;2014-03-29;B;De 6h à 10h;2047
Paris Nord;87271007;Dimanche;2014-03-30;B;De 6h à 10h;10454
La Courneuve Aubervilliers;87271304;Dimanche;2014-03-30;B;Avant 6h;243
La Courneuve Aubervilliers;87271304;Dimanche;2014-03-30;B;De 16h à 20h;3875
La Courneuve Aubervilliers;87271304;Samedi;2014-03-29;B;De 16h à 20h;3501
Le Bourget;87271395;JOB;2014-03-27;B;De 16h à 20h;4720
Le Bourget;87271395;Samedi;2014-03-29;B;De 10h à 16h;5096
Aulnay sous Bois;87271411;Dimanche;2014-03-30;B;Après 20h;1824
Aulnay sous Bois;87271411;JOB;2014-03-27;B;Après 20h;1590
Sevran Livry;87271429;Dimanche;2014-03-30;B;Avant 6h;103
Sevran Livry;87271429;Dimanche;2014-03-30;B;De 16h à 20h;1331
Sevran Livry;87271429;Dimanche;2014-03-30;B;De 6h à 10h;730
Sevran Livry;87271429;Samedi;2014-03-29;B;De 16h à 20h;1246
Vert Galant;87271437;Dimanche;2014-03-30;B;De 10h à 16h;2253
Vert Galant;87271437;Samedi;2014-03-29;B;De 10h à 16h;3837
Vert Galant;87271437;Samedi;2014-03-29;B;De 16h à 20h;1972
Sevran Beaudottes;87271445;Dimanche;2014-03-30;B;De 6h à 10h;1440
Sevran Beaudottes;87271445;JOB;2014-03-27;B;Avant 6h;561
Sevran Beaudottes;87271445;Samedi;2014-03-29;B;De 10h à 16h;3883
Sevran Beaudottes;87271445;Samedi;2014-03-29;B;De 16h à 20h;2235
Villepinte;87271452;Dimanche;2014-03-30;B;De 16h à 20h;660
Villepinte;87271452;JOB;2014-03-27;B;Après 20h;223
Villepinte;87271452;JOB;2014-03-27;B;De 6h à 10h;1435
Aéroport Charles de Gaulle 1;87271460;JOB;2014-03-27;B;Avant 6h;145
Aéroport Charles de Gaulle 1;87271460;JOB;2014-03-27;B;De 16h à 20h;3257
Aéroport Charles de Gaulle 1;87271460;Samedi;2014-03-29;B;De 6h à 10h;1184
Le Blanc Mesnil;87271478;Dimanche;2014-03-30;B;De 6h à 10h;459
Parc des Expositions;87271486;JOB;2014-03-27;B;Après 20h;258
Parc des Expositions;87271486;JOB;2014-03-27;B;Avant 6h;26
Parc des Expositions;87271486;Samedi;2014-03-29;B;De 6h à 10h;155
Villeparisis Mitry le Neuf;87271510;Dimanche;2014-03-30;B;Après 20h;370
Villeparisis Mitry le Neuf;87271510;JOB;2014-03-27;B;Après 20h;253
Villeparisis Mitry le Neuf;87271510;JOB;2014-03-27;B;De 10h à 16h;1302
Villeparisis Mitry le Neuf;87271510;Samedi;2014-03-29;B;De 10h à 16h;1953
Mitry Claye;87271528;Dimanche;2014-03-30;B;De 16h à 20h;341
Mitry Claye;87271528;JOB;2014-03-27;B;Après 20h;215
Mitry Claye;87271528;JOB;2014-03-27;B;De 6h à 10h;1084
Mitry Claye;87271528;Samedi;2014-03-29;B;Avant 6h;35
Mitry Claye;87271528;Samedi;2014-03-29;B;De 6h à 10h;419
Porte de Clichy;87111278;Dimanche;2012-06-24;C;Avant 6h;20
Porte de Clichy;87111278;Dimanche;2012-06-24;C;De 10h à 16h;1238
Porte de Clichy;87111278;JOB;2012-06-26;C;De 10h à 16h;1593
Porte de Clichy;87111278;Samedi;2012-06-23;C;De 10h à 16h;1404
Porte de Clichy;87111278;Samedi;2012-06-23;C;De 16h à 20h;1242
Epinay sur Seine;87271148;Dimanche;2012-06-24;C;Après 20h;271
Epinay sur Seine;87271148;Dimanche;2012-06-24;C;Avant 6h;35
Epinay sur Seine;87271148;JOB;2012-06-26;C;Avant 6h;244
Epinay sur Seine;87271148;JOB;2012-06-26;C;De 16h à 20h;910
Epinay sur Seine;87271148;Samedi;2012-06-23;C;De 16h à 20h;834
Gennevilliers;87271205;Dimanche;2012-06-24;C;De 6h à 10h;162
Gennevilliers;87271205;Samedi;2012-06-23;C;Avant 6h;13
Saint-Ouen;87271247;Dimanche;2012-06-24;C;De 16h à 20h;381
Saint-Ouen;87271247;JOB;2012-06-26;C;Avant 6h;63
Saint-Ouen;87271247;JOB;2012-06-26;C;De 10h à 16h;1088
Saint-Ouen;87271247;Samedi;2012-06-23;C;Avant 6h;31
Saint-Ouen;87271247;Samedi;2012-06-23;C;De 16h à 20h;623
Les Grésillons;87272146;Dimanche;2012-06-24;C;De 6h à 10h;170
Ris Orangis;87681338;Samedi;2015-11-07;D;De 16h à 20h;409
Orangis Bois de l'Epine;87681346;Dimanche;2015-11-08;D;De 16h à 20h;440
Orangis Bois de l'Epine;87681346;Samedi;2015-11-07;D;De 10h à 16h;925
Grand Bourg;87681353;Dimanche;2015-11-08;D;Avant 6h;18
Grand Bourg;87681353;Dimanche;2015-11-08;D;De 10h à 16h;162
Grand Bourg;87681353;JOB;2015-11-03;D;De 10h à 16h;117
Grand Bourg;87681353;Samedi;2015-11-07;D;De 10h à 16h;150
Evry Val de Seine;87681361;JOB;2015-11-03;D;Avant 6h;85
Evry Val de Seine;87681361;JOB;2015-11-03;D;De 10h à 16h;393
Evry Val de Seine;87681361;Samedi;2015-11-07;D;Après 20h;68
Evry Val de Seine;87681361;Samedi;2015-11-07;D;De 16h à 20h;208
Grigny Centre;87681379;JOB;2015-11-03;D;Après 20h;406
Grigny Centre;87681379;Samedi;2015-11-07;D;Après 20h;607
Evry Centre;87681387;Dimanche;2015-11-08;D;De 16h à 20h;1739
Evry Centre;87681387;Dimanche;2015-11-08;D;De 6h à 10h;851
Evry Centre;87681387;Samedi;2015-11-07;D;Avant 6h;202
Evry Bras de Fer Génopôle;87681395;JOB;2015-11-03;D;Après 20h;225
Evry Bras de Fer Génopôle;87681395;JOB;2015-11-03;D;De 6h à 10h;1613
Moulin Galant;87681403;Samedi;2015-11-07;D;De 6h à 10h;173
Mennecy;87681411;Samedi;2015-11-07;D;De 6h à 10h;240
Ballancourt;87681437;Dimanche;2015-11-08;D;De 10h à 16h;120
Ballancourt;87681437;JOB;2015-11-03;D;De 10h à 16h;155
Ballancourt;87681437;Samedi;2015-11-07;D;De 10h à 16h;168
La Ferté Alais;87681452;JOB;2015-11-03;D;Après 20h;18
La Ferté Alais;87681452;JOB;2015-11-03;D;Avant 6h;21
La Ferté Alais;87681452;JOB;2015-11-03;D;De 10h à 16h;138
La Ferté Alais;87681452;JOB;2015-11-03;D;De 6h à 10h;490
La Ferté Alais;87681452;Samedi;2015-11-07;D;Après 20h;17
Boutigny;87681478;Samedi;2015-11-07;D;De 16h à 20h;45
Maisse;87681486;Dimanche;2015-11-08;D;De 16h à 20h;50
Maisse;87681486;JOB;2015-11-03;D;De 10h à 16h;66
Maisse;87681486;Samedi;2015-11-07;D;Après 20h;2
Buno Gironville;87681510;JOB;2015-11-03;D;Après 20h;2
Buno Gironville;87681510;JOB;2015-11-03;D;De 6h à 10h;83
Buno Gironville;87681510;Samedi;2015-11-07;D;De 16h à 20h;15
Essonnes Robinson;87681601;JOB;2015-11-03;D;De 16h à 20h;108
Essonnes Robinson;87681601;Samedi;2015-11-07;D;Après 20h;3
Essonnes Robinson;87681601;Samedi;2015-11-07;D;De 10h à 16h;202
Essonnes Robinson;87681601;Samedi;2015-11-07;D;De 6h à 10h;107
Villabé;87681619;Dimanche;2015-11-08;D;De 6h à 10h;28
Villabé;87681619;Samedi;2015-11-07;D;Après 20h;21
Villabé;87681619;Samedi;2015-11-07;D;De 6h à 10h;57
Le Plessis Chenet;87681627;Dimanche;2015-11-08;D;De 16h à 20h;5
Le Coudray Montceaux;87681635;Dimanche;2015-11-08;D;De 16h à 20h;27
Le Coudray Montceaux;87681635;JOB;2015-11-03;D;De 6h à 10h;102
Le Coudray Montceaux;87681635;Samedi;2015-11-07;D;De 10h à 16h;43
Villeneuve Triage;87681809;Dimanche;2015-11-08;D;De 10h à 16h;586
Villeneuve Triage;87681809;JOB;2015-11-03;D;De 16h à 20h;818
Villeneuve Saint-Georges;87681825;Dimanche;2015-11-08;D;Après 20h;2037
Villeneuve Saint-Georges;87681825;JOB;2015-11-03;D;Avant 6h;687
Villeneuve Saint-Georges;87681825;Samedi;2015-11-07;D;De 16h à 20h;6052
Melun;87682005;Dimanche;2015-11-08;D;Avant 6h;86
Melun;87682005;Samedi;2015-11-07;D;Après 20h;403
Montgeron Crosne;87682104;Dimanche;2015-11-08;D;Avant 6h;36
Montgeron Crosne;87682104;JOB;2015-11-03;D;Avant 6h;96
Montgeron Crosne;87682104;Samedi;2015-11-07;D;De 10h à 16h;2137
Montgeron Crosne;87682104;Samedi;2015-11-07;D;De 6h à 10h;1030
Yerres;87682112;JOB;2015-11-03;D;Avant 6h;134
Yerres;87682112;Samedi;2015-11-07;D;De 10h à 16h;1440
Yerres;87682112;Samedi;2015-11-07;D;De 16h à 20h;730
Brunoy;87682120;Dimanche;2015-11-08;D;De 6h à 10h;439
Brunoy;87682120;Samedi;2015-11-07;D;Après 20h;289
Boussy Saint-Antoine;87682138;Dimanche;2015-11-08;D;De 6h à 10h;347
Boussy Saint-Antoine;87682138;JOB;2015-11-03;D;De 10h à 16h;1475
Boussy Saint-Antoine;87682138;Samedi;2015-11-07;D;De 6h à 10h;741
Combs la Ville Quincy;87682146;Dimanche;2015-11-08;D;Après 20h;132
Combs la Ville Quincy;87682146;JOB;2015-11-03;D;Après 20h;224
Combs la Ville Quincy;87682146;Samedi;2015-11-07;D;Avant 6h;55
Combs la Ville Quincy;87682146;Samedi;2015-11-07;D;De 10h à 16h;1697
Combs la Ville Quincy;87682146;Samedi;2015-11-07;D;De 6h à 10h;759
Lieusaint Moissy;87682153;Dimanche;2015-11-08;D;Avant 6h;80
Lieusaint Moissy;87682153;Dimanche;2015-11-08;D;De 10h à 16h;1368
Lieusaint Moissy;87682153;JOB;2015-11-03;D;De 16h à 20h;2600
Lieusaint Moissy;87682153;Samedi;2015-11-07;D;Avant 6h;164
Cesson;87682161;JOB;2015-11-03;D;De 16h à 20h;439
Cesson;87682161;Samedi;2015-11-07;D;De 6h à 10h;288
Le Mée;87682179;Samedi;2015-11-07;D;De 10h à 16h;1343
Savigny le Temple Nandy;87682187;Samedi;2015-11-07;D;Après 20h;475
Vosves;87682500;JOB;2015-11-03;D;De 16h à 20h;12
Boissise le Roi;87682518;Dimanche;2015-11-08;D;De 16h à 20h;27
Ponthierry Pringy;87682526;JOB;2015-11-03;D;Après 20h;11
Saint-Fargeau;87682542;Dimanche;2015-11-08;D;Après 20h;8
Saint-Fargeau;87682542;Dimanche;2015-11-08;D;De 6h à 10h;7
Saint-Fargeau;87682542;JOB;2015-11-03;D;De 16h à 20h;25
Saint-Fargeau;87682542;Samedi;2015-11-07;D;De 6h à 10h;26
Boigneville;87684407;Dimanche;2015-11-08;D;De 10h à 16h;18
Boigneville;87684407;Samedi;2015-11-07;D;Après 20h;1
Malesherbes;87684415;Dimanche;2015-11-08;D;De 6h à 10h;83
Malesherbes;87684415;JOB;2015-11-03;D;Avant 6h;130
Malesherbes;87684415;Samedi;2015-11-07;D;Après 20h;20
Paris Gare de Lyon;87686006;Dimanche;2015-11-08;D;Avant 6h;328
Paris Gare de Lyon;87686006;Dimanche;2015-11-08;D;De 10h à 16h;16534
Paris Gare de Lyon;87686006;Dimanche;2015-11-08;D;De 16h à 20h;17723
Paris Gare de Lyon;87686006;Dimanche;2015-11-08;D;De 6h à 10h;4172
Paris Gare de Lyon;87686006;Samedi;2015-11-07;D;De 16h à 20h;20422
PANTIN;87113209;JOB;2016-10-04;E;Avant 6h;264
PANTIN;87113209;JOB;2016-10-04;E;De 16h à 20h;6815
PANTIN;87113209;JOB;2016-10-04;E;De 6h à 10h;3288
PANTIN;87113209;Samedi;2016-10-01;E;Après 20h;1203
PANTIN;87113209;Samedi;2016-10-01;E;Avant 6h;190
Massy Palaiseau;87393579;Samedi;2012-06-23;C;Avant 6h;20
Longjumeau;87393611;Dimanche;2012-06-24;C;Avant 6h;4
Longjumeau;87393611;Dimanche;2012-06-24;C;De 10h à 16h;110
Longjumeau;87393611;Samedi;2012-06-23;C;Après 20h;52
Chilly Mazarin;87393637;Dimanche;2012-06-24;C;Après 20h;49
Chilly Mazarin;87393637;JOB;2012-06-26;C;Avant 6h;37
Chilly Mazarin;87393637;JOB;2012-06-26;C;De 16h à 20h;562
Chilly Mazarin;87393637;Samedi;2012-06-23;C;De 6h à 10h;146
Gravigny Balizy;87393645;Samedi;2012-06-23;C;De 16h à 20h;89
Petit Vaux;87393652;Dimanche;2012-06-24;C;De 6h à 10h;46
Petit Vaux;87393652;JOB;2012-06-26;C;Avant 6h;3
Saint-Quentin en Yvelines (Montigny le Bretonneux);87393843;Samedi;2012-06-23;C;Après 20h;330
Saint-Quentin en Yvelines (Montigny le Bretonneux);87393843;Samedi;2012-06-23;C;De 10h à 16h;875
Les Ardoines;87492108;Dimanche;2012-06-24;C;Après 20h;204
Les Ardoines;87492108;Samedi;2012-06-23;C;De 10h à 16h;788
Dourdan la Forêt;87540179;JOB;2012-06-26;C;De 10h à 16h;128
Dourdan la Forêt;87540179;Samedi;2012-06-23;C;De 10h à 16h;105
Boulainvilliers;87543181;Dimanche;2012-06-24;C;Après 20h;176
Boulainvilliers;87543181;JOB;2012-06-26;C;Après 20h;547
Boulainvilliers;87543181;Samedi;2012-06-23;C;De 6h à 10h;303
Avenue du Président Kennedy (Maison de Radio Franc;87543207;Dimanche;2012-06-24;C;De 6h à 10h;104
Avenue du Président Kennedy (Maison de Radio Franc;87543207;JOB;2012-06-26;C;Avant 6h;5
Avenue du Président Kennedy (Maison de Radio Franc;87543207;JOB;2012-06-26;C;De 16h à 20h;1548
Etampes;87545137;Dimanche;2012-06-24;C;De 10h à 16h;524
Etampes;87545137;JOB;2012-06-26;C;De 16h à 20h;661
Etréchy;87545145;Dimanche;2012-06-24;C;Avant 6h;3
Etréchy;87545145;JOB;2012-06-26;C;De 10h à 16h;303
Etréchy;87545145;JOB;2012-06-26;C;De 16h à 20h;218
Chamarande;87545152;Dimanche;2012-06-24;C;Avant 6h;0
Chamarande;87545152;Dimanche;2012-06-24;C;De 6h à 10h;7
Chamarande;87545152;Samedi;2012-06-23;C;De 10h à 16h;58
Lardy;87545160;Dimanche;2012-06-24;C;Après 20h;15
Lardy;87545160;JOB;2012-06-26;C;De 6h à 10h;540
Lardy;87545160;Samedi;2012-06-23;C;Après 20h;47
Lardy;87545160;Samedi;2012-06-23;C;De 10h à 16h;122
Bouray;87545178;Dimanche;2012-06-24;C;Après 20h;54
Bouray;87545178;Dimanche;2012-06-24;C;De 10h à 16h;146
Bouray;87545178;Dimanche;2012-06-24;C;De 16h à 20h;112
Bouray;87545178;Samedi;2012-06-23;C;De 10h à 16h;194
Bouray;87545178;Samedi;2012-06-23;C;De 6h à 10h;157
Marolles en Hurepoix;87545186;JOB;2012-06-26;C;Après 20h;34
Marolles en Hurepoix;87545186;Samedi;2012-06-23;C;Après 20h;40
Marolles en Hurepoix;87545186;Samedi;2012-06-23;C;De 10h à 16h;216
Marolles en Hurepoix;87545186;Samedi;2012-06-23;C;De 6h à 10h;105
Brétigny;87545194;Dimanche;2012-06-24;C;De 10h à 16h;1095
Brétigny;87545194;JOB;2012-06-26;C;De 6h à 10h;5193
Brétigny;87545194;Samedi;2012-06-23;C;De 6h à 10h;764
Saint-Michel sur Orge;87545202;Dimanche;2012-06-24;C;Avant 6h;41
Saint-Michel sur Orge;87545202;Dimanche;2012-06-24;C;De 10h à 16h;805
Saint-Michel sur Orge;87545202;JOB;2012-06-26;C;Après 20h;174
Saint-Michel sur Orge;87545202;JOB;2012-06-26;C;De 6h à 10h;2832
Sainte-Geneviève des Bois;87545210;JOB;2012-06-26;C;Après 20h;216
Sainte-Geneviève des Bois;87545210;JOB;2012-06-26;C;De 16h à 20h;965
Sainte-Geneviève des Bois;87545210;JOB;2012-06-26;C;De 6h à 10h;4231
Sainte-Geneviève des Bois;87545210;Samedi;2012-06-23;C;Avant 6h;57
Epinay sur Orge;87545228;JOB;2012-06-26;C;De 6h à 10h;3007
Savigny sur Orge;87545236;Dimanche;2012-06-24;C;De 16h à 20h;1030
Savigny sur Orge;87545236;JOB;2012-06-26;C;De 16h à 20h;2362
Savigny sur Orge;87545236;Samedi;2012-06-23;C;Après 20h;620
Savigny sur Orge;87545236;Samedi;2012-06-23;C;Avant 6h;128
